Designator,Mid X,Mid Y,Rotation,Layer
R38,-25.562,65.378,0.0,top
R39,2.75,31.5,90.0,top
R4,-25.199824,42.214083,236.25,bottom
R40,-2.25,31.5,90.0,top
R41,60.03,-8.01,180.0,top
R42,7.75,36.5,270.0,top
R5,-32.951176,36.48671,225.0,bottom
R6,-39.436233,29.357173,213.75,bottom
R7,-44.405776,21.099455,202.5,bottom
R8,-47.668831,12.030898,191.25,bottom
R9,-49.1,2.5,180.0,bottom
U1,-31.812001,51.628,270.0,top
U2,6.9,0.0,90.0,bottom
U3,-6.9,0.0,270.0,bottom
U4,0.5,22.5,180.0,top
U5,65.9365,-4.000001,270.0,top
