Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J3, J4, J5",PinHeader_1x06_P2.54mm_Vertical,4,Conn_01x06,
J2,JST_PHD_B8B-PHDSS_2x04_P2.00mm_Vertical,1,Conn_02x04_Odd_Even,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,R,
U1,OPENMV_M7,1,~,
U2,MODULE_113991054,1,113991054,
U3,MODULE_4754,1,4754,
